"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"   73P/Schwassmann-Wachmann 3-BY",3.034,0.6799,11.20,69.77,199.46,0.971,5.10,5.28,5,9,25,,,
"   79P/du Toit-Hartley",3.031,0.5941,2.89,307.84,253.27,1.231,4.83,5.28,9595,1,215,,,
"   79P/du Toit-Hartley-A",3.004,0.6023,2.94,309.38,251.57,1.195,4.81,5.21,138,6,28,,,
"   79P/du Toit-Hartley-B",2.981,0.5996,2.94,309.31,251.72,1.194,4.77,5.15,23,9,17,,,
"   85D/Boethin",5.185,0.7812,4.30,359.40,37.62,1.135,9.24,11.8,4042,8,51,,,
"   96P/Machholz 1",3.035,0.9592,58.14,94.25,14.79,0.124,5.95,5.29,4080,0,667,,,
"  103P/Hartley 2",3.475,0.6938,13.61,219.75,181.30,1.064,5.89,6.48,2388,0,2816,,,
"  104P/Kowal 2",3.208,0.6655,5.70,207.21,227.25,1.073,5.34,5.74,2351,2,1551,,,
"  109P/Swift-Tuttle",26.09,0.9632,113.45,139.38,152.98,0.960,51.22,133,94131,0,652,,,
"  122P/de Vico",17.68,0.9627,85.38,79.62,13.00,0.659,34.70,74.3,54902,0,294,,,
"  141P/Machholz 2",3.055,0.7367,13.98,241.88,153.62,0.804,5.31,5.34,2131,0,852,,,
"  141P/Machholz 2-A",3.01,0.7505,12.79,246.16,149.24,0.751,5.27,5.22,2006,1,411,,,
"  141P/Machholz 2-D",3.009,0.7511,12.81,246.14,149.29,0.749,5.27,5.22,9607,2,157,,,
"  141P/Machholz 2-I",3.066,0.7365,13.95,241.82,153.57,0.808,5.32,5.37,37,8,11,,,
"  157P/Tritton",3.368,0.6275,11.18,289.43,157.44,1.255,5.48,6.18,2804,1,434,,,
"  161P/Hartley-IRAS",7.73,0.8351,95.70,1.40,47.09,1.275,14.19,21.5,7994,0,335,,,
"  162P/Siding Spring",3.053,0.5961,27.82,31.24,356.32,1.233,4.87,5.33,12498,0,3197,,,
"  169P/NEAT",2.606,0.7668,11.30,176.19,217.96,0.608,4.60,4.21,12459,0,1322,,,
"  177P/Barnard",24.3,0.9544,31.22,272.07,60.45,1.107,47.50,120,42903,0,1702,,,
"  181P/Shoemaker-Levy 6",3.839,0.7073,16.98,37.68,333.80,1.124,6.55,7.52,8252,2,88,,,
"  182P/LONEOS",2.931,0.6663,16.91,75.10,51.43,0.978,4.88,5.02,3819,0,197,,,
"  185P/Petriew",3.1,0.6988,14.00,214.10,181.94,0.934,5.27,5.46,4272,0,715,,,
"  189P/NEAT",2.918,0.5976,20.40,282.20,15.31,1.174,4.66,4.98,7330,0,1469,,,
"  197P/LINEAR",2.867,0.6299,25.56,66.40,188.75,1.061,4.67,4.86,7452,0,325,,,
"  206P/Barnard-Boattini",3.234,0.6485,33.20,204.38,181.36,1.136,5.33,5.81,42448,2,284,,,
"  207P/NEAT",3.872,0.7591,10.19,198.34,273.00,0.933,6.81,7.62,8420,0,945,,,
"  209P/LINEAR",2.95,0.6814,21.34,62.87,152.63,0.940,4.96,5.07,7592,0,2879,9,4,
"  210P/Christensen",3.176,0.8317,10.22,93.87,345.77,0.534,5.82,5.66,6256,0,715,,,
"  217P/LINEAR",3.944,0.6896,12.88,125.62,246.77,1.224,6.66,7.83,8392,0,3288,,,
"  222P/LINEAR",2.857,0.7268,5.15,7.13,345.43,0.781,4.93,4.83,5283,0,239,,,
